"source","id","doi","title","authors","journal","published_date","url","abstract"
"pubmed","42721034","10.1016/j.celrep.2026.117980","Selective control of HLA-DRB1 and HLA-DQA1 transcription through DR/DQ super enhancer microelements.","Majumder, Parimal; Lee, Joshua; Butler, Royce; Scharer, Christopher D; Boss, Jeremy M","Cell reports","2026-09-10","https://pubmed.ncbi.nlm.nih.gov/42721034/","MHC-II gene expression requires promoter-proximal and distal organizing elements. A super enhancer located between the HLA-DR and -DQ genes was dissected into five microdomains (regions A-E) to define its mechanism of action. Regions A and B were required for maximal expression of HLA-DQA1. Region A facilitated HLA-DQA1 expression and substituted for region B in its absence, as well as mediating longer-range interactions with distal CTCF sites. Region D modulated HLA-DRB1 through specific 3D chromatin interactions, whereas a local insulator element (XL9) broadly interacted with the SE. Through deletion of HLA-DRB1 proximal-promoter elements, HLA-DQ expression increased by co-opting interactions with region D, indicating that competition between microelements regulates the absolute levels of MHC-II genes. Together, these data define an additional layer of control for MHC-II genes encoded in one of the most polymorphic and disease-associated regions of the human genome."
"pubmed","42710763","10.1016/j.ijbiomac.2026.154368","A lipoprotein-responsive circular RNA, circCTCF, couples extracellular lipid availability to mTOR signaling via ACSL5 in triple-negative breast cancer.","Zhang, Yuanyuan; Liu, Zhengyi; Su, Xuanyi; Hu, Xinyuan; Zhang, Qing; Zhang, Huiyang; Shicao, Duan; Cheng, Linna; Zhang, Xu Dong; Liu, Xiaoying; Chen, Song; Thorne, Rick F","International journal of biological macromolecules","2026-09-08","https://pubmed.ncbi.nlm.nih.gov/42710763/","Triple-negative breast cancer (TNBC) is an aggressive subtype with limited therapeutic options. While metabolic reprogramming is a hallmark of cancer, most studies have focused on cell-intrinsic alterations in glucose and amino acid metabolism, with comparatively little attention paid to how cancer cells sense and respond to extracellular lipid availability. Here, through an unbiased transcriptomic and circRNA profiling screen under lipoprotein-deprived conditions, we identify circCTCF, a circular RNA derived from the CTCF gene, as a lipoprotein-responsive regulator of lipid metabolism and proliferation in TNBC. circCTCF is significantly downregulated upon lipid withdrawal, and its depletion impairs cell growth while promoting lipid droplet accumulation. Conversely, circCTCF overexpression enhances proliferation and suppresses lipid storage. Mechanistically, circCTCF binds the RNA-binding protein G3BP2 through its back-splice junction sequence to stabilize ACSL5 mRNA, thereby sustaining ACSL5 expression, phosphatidic acid (PA) levels, and mTOR signaling. ACSL5 overexpression rescues PA and mTOR activity in circCTCF-deficient cells, establishing a linear circCTCF-ACSL5-PA-mTOR axis. Furthermore, circCTCF associates with G3BP2-positive stress granules upon heat shock, suggesting a potential link between this metabolic axis and stress-induced RNA regulatory networks. Collectively, these findings establish circCTCF as a critical node coupling extracellular lipid cues to intracellular metabolic control and identify the circCTCF-ACSL5-PA-mTOR axis as a potential therapeutic vulnerability in TNBC."
"pubmed","42702594","10.1038/s41467-026-76506-3","Allele-specific chromatin architecture shapes imprinted domains and coordinates a distal enhancer and antisense transcription at the mouse Mest-Copg2 domain.","Bae, Bongmin; Gu, Katherine; Loftus, Daniel; Whipple, Amanda J","Nature communications","2026-09-07","https://pubmed.ncbi.nlm.nih.gov/42702594/","Genomic imprinting results in parent-of-origin-dependent gene expression, but how three-dimensional genome organization contributes to imprinted gene regulation remains unclear. Using Capture Hi-C in mouse cortex and primary cortical neurons, we identified parental allele-specific chromatin architectures across multiple imprinted domains. These architectures largely originate from imprinting control regions and correlate with DNA methylation-sensitive CTCF binding. Active and inactive alleles of imprinted genes show distinct promoter interaction profiles and differential engagement with distal regulatory elements in both contact frequency and the epigenetic state of distal regions. A CRISPR interference screen identified a distal enhancer that regulates Mest-Copg2 imprinted expression through allele-specific chromatin interactions. In neurons, this enhancer activates Copg2 on the maternal allele, whereas on the paternal allele it drives Mest isoforms transcribed antisense to Copg2 and contributes to Copg2 repression. In summary, we show that allele-specific chromatin architecture coordinates maternal enhancer activity and paternal antisense transcription to control imprinted expression in neurons."
"pubmed","42700546","10.1016/j.clinsp.2026.101115","Preliminary analysis of chromatin accessibility in osteosarcoma tissues.","Ye, Fan; Hu, Po","Clinics (Sao Paulo, Brazil)","2026-09-06","https://pubmed.ncbi.nlm.nih.gov/42700546/","Osteosarcoma (OS) is highly invasive, metastatic, and lacks effective therapies, leading to poor prognosis. This study aims to dissect the core epigenetic features of OS from the perspective of chromatin accessibility to elucidate its pathogenesis and identify novel therapeutic targets. ATAC-seq was used to map the global chromatin accessibility profiles of OS tissues versus normal controls. We identified OS-specific aberrantly accessible chromatin regions and delineated enriched transcription factor binding motifs. Key transcription factors were validated by Western blotting and flow cytometry. Notably, in regions with enhanced accessibility, the binding probability of AP-1 family members (including Atf3, Fra1, Fra2, JunB, BATF, AP-1, Jun-AP1, Bach2, and CTCF) was significantly elevated. Further analysis indicates that JunB can inhibit apoptosis of OS cells and enhance their invasive ability, suggesting that it may be related to tumor progression. Overall, JunB, as a candidate molecule with potential research value, is worthy of further verification in subsequent in vivo models and clinical samples to determine its feasibility as an intervention target for OS."
"pubmed","42696576","10.1126/sciadv.aee2863","CTCF aligns single-cell TAD-like domain boundaries and stabilizes long-range active chromatin clusters.","Chen, Ziyin; Li, Xuan; Dai, Yunpeng; Shao, Kaiwen; Sun, Haolun; Wu, Nan; Yan, Jian; Zhang, Yanxiao; Yu, Miao","Science advances","2026-09-04","https://pubmed.ncbi.nlm.nih.gov/42696576/","CCCTC-binding factor (CTCF) is a key architectural protein in the three-dimensional (3D) genome, yet how its loss reshapes chromatin structure and transcription at single-cell resolution remains unclear. Using HiRES, which jointly profiles chromatin contacts and RNA from the same nucleus, we examined genome-wide effects of CTCF depletion. Topologically associating domain (TAD)-like domains (TLDs) across single cells remained largely unchanged in number and size after CTCF loss, but their boundaries became more variably positioned, and pseudobulk analyses revealed reduced interactions within A compartments. We also developed SALTAFinder to identify Spatially Aggregated Long-distance TLD Assemblies (SALTAs), clusters of TLDs occupying shared 3D space within single cells. A subset of SALTAs is enriched for highly expressed genes and super-enhancers and declines upon CTCF depletion. This structural reorganization coincided with a global reduction in per-cell RNA output, as indicated by HiRES and orthogonal measurements. Together, these findings suggest that CTCF contributes to the coordinated regulation of chromatin organization and transcriptional capacity and is associated with stabilization of long-range active chromatin clusters."
"medrxiv","10.64898/2026.09.08.26362505","10.64898/2026.09.08.26362505","Genetic mechanisms of mitotic error in 840,853 blood genomes","Si Y; Kamitaki N; Tang D; Loh P","medRxiv","2026-09-09","https://www.medrxiv.org/content/10.64898/2026.09.08.26362505","Mosaic aneuploidies in leukocytes are commonly detectable in aging individuals. Here, we studied inherited genetic influences on susceptibility to such aneuploidies by precisely quantifying chromosomal ploidy from whole-genome sequencing read-depth in 840,853 individuals. This approach revealed autosomal gains in ~70,000 individuals (7-fold more than previous data sets) and ubiquitous loss of the X chromosome in females and loss of Y in males, each of which exhibited >50% heritability. Genome-wide association analyses of 12 mosaic aneuploidies identified >800 common inherited influences on the generation and proliferation of aneuploid cells. Variants in mitotic spindle assembly checkpoint genes consistently affected aneuploidy of most chromosomes, whereas a missense variant in PMF1 (which encodes a subunit of the outer kinetochore) associated with increased segregation fidelity of some chromosomes at the expense of others. Structural variation within multiple chromosomes associated with allele-specific effects on missegregation rates. An inherited hybrid centromere formed by an ancient recombination of 22q with 13p—generating the largest common structural variant in the human genome—associated with 4-fold greater risk of chromosome 22 gain. Abundant copy number and sequence variation in two X-linked CTCF-binding repeat arrays, ICCE and DXZ4 , associated with a 4-fold range in the likelihoods of different X chromosomes to be lost. These results show how genetic risk of chromosomal gains and losses varies greatly across chromosomes and across people, providing instruments for assessing the effects of mosaic aneuploidies on health."
